Report Date,ZCTA,Number of Cases,Number of PCR Testing Encounters
6/9/2020,23947,7,178
6/9/2020,23950,13,73
6/9/2020,23952,0,9
6/9/2020,23954,Suppressed*,84
6/9/2020,23958,14,178
6/9/2020,23959,0,43
6/9/2020,23960,29,146
6/9/2020,23962,Suppressed*,38
6/9/2020,23963,0,14
6/9/2020,23964,0,46
6/9/2020,23966,10,111
6/9/2020,23967,Suppressed*,41
6/9/2020,23968,Suppressed*,30
6/9/2020,23970,18,182
6/9/2020,23974,9,156
6/9/2020,23976,Suppressed*,17
6/9/2020,24011,0,8883
6/9/2020,24012,88,450
6/9/2020,24013,15,75
6/9/2020,24014,60,304
6/9/2020,24015,20,138
6/9/2020,24016,8,122
6/9/2020,24017,23,342
6/9/2020,24018,41,492
6/9/2020,24019,30,351
6/9/2020,24053,Suppressed*,45
6/9/2020,24054,32,186
6/9/2020,24055,33,361
6/9/2020,24058,0,8
6/9/2020,24059,0,8
6/9/2020,24060,53,677
6/9/2020,24064,Suppressed*,43
6/9/2020,24065,Suppressed*,47
6/9/2020,24066,Suppressed*,26
6/9/2020,24067,Suppressed*,22
6/9/2020,24069,Suppressed*,62
6/9/2020,24070,Suppressed*,28
6/9/2020,24072,0,17
6/9/2020,24073,27,1236
6/9/2020,24076,Suppressed*,23
6/9/2020,24077,Suppressed*,9
6/9/2020,24078,33,261
6/9/2020,24079,Suppressed*,22
6/9/2020,24082,0,8
6/9/2020,24083,8,38
6/9/2020,24084,11,300
6/9/2020,24085,9,19
6/9/2020,24087,6,80
6/9/2020,24088,0,32
6/9/2020,24089,Suppressed*,68
6/9/2020,24090,10,32
6/9/2020,24091,5,96
6/9/2020,24092,Suppressed*,26
6/9/2020,24093,0,1
6/9/2020,24095,Suppressed*,45
6/9/2020,24101,Suppressed*,59
6/9/2020,24102,0,16
6/9/2020,24104,Suppressed*,118
6/9/2020,24105,0,5
6/9/2020,24112,96,1321
6/9/2020,24120,Suppressed*,22
6/9/2020,24121,Suppressed*,190
6/9/2020,24122,Suppressed*,22
6/9/2020,24124,Suppressed*,55
6/9/2020,24127,5,89
6/9/2020,24128,Suppressed*,23
6/9/2020,24131,0,1
6/9/2020,24132,0,8
6/9/2020,24133,Suppressed*,62
6/9/2020,24134,0,147
6/9/2020,24136,0,29
6/9/2020,24137,Suppressed*,26
6/9/2020,24138,Suppressed*,31
6/9/2020,24139,Suppressed*,21
6/9/2020,24141,12,276
6/9/2020,24142,0,4
6/9/2020,24147,Suppressed*,14
6/9/2020,24148,24,219
6/9/2020,24149,0,43
6/9/2020,24150,Suppressed*,6
6/9/2020,24151,19,361
6/9/2020,24153,70,2490
6/9/2020,24161,0,10
6/9/2020,24162,6,58
6/9/2020,24165,Suppressed*,52
6/9/2020,24167,0,4
6/9/2020,24168,5,36
6/9/2020,24171,21,157
6/9/2020,24174,Suppressed*,57
6/9/2020,24175,Suppressed*,59
6/9/2020,24176,Suppressed*,24
6/9/2020,24179,28,195
6/9/2020,24184,6,38
6/9/2020,24185,0,14
6/9/2020,24201,Suppressed*,480
6/9/2020,24202,9,294
6/9/2020,24210,22,447
6/9/2020,24211,10,434
6/9/2020,24216,10,93
6/9/2020,24217,0,5
6/9/2020,24219,9,590
6/9/2020,24220,0,17
6/9/2020,24221,0,8
6/9/2020,24224,6,85
6/9/2020,24225,0,20
6/9/2020,24226,0,36
6/9/2020,24228,0,135
6/9/2020,24230,0,140
6/9/2020,24236,5,47
6/9/2020,24237,0,12
6/9/2020,24239,0,7
6/9/2020,24243,0,66
6/9/2020,24244,Suppressed*,174
6/9/2020,24245,0,28
6/9/2020,24246,0,11
6/9/2020,24248,Suppressed*,62
6/9/2020,24250,0,21
6/9/2020,24251,Suppressed*,250
6/9/2020,24256,0,60
6/9/2020,24258,0,33
6/9/2020,24260,0,97
6/9/2020,24263,Suppressed*,174
6/9/2020,24265,0,15
6/9/2020,24266,Suppressed*,206
6/9/2020,24269,0,8
6/9/2020,24270,Suppressed*,11
6/9/2020,24271,0,69
6/9/2020,24272,0,9
6/9/2020,24273,Suppressed*,303
6/9/2020,24277,Suppressed*,148
6/9/2020,24279,Suppressed*,59
6/9/2020,24280,0,11
6/9/2020,24281,0,53
6/9/2020,24282,0,17
6/9/2020,24283,0,68
6/9/2020,24290,0,48
6/9/2020,24292,0,12
6/9/2020,24293,5,247
6/9/2020,24301,11,456
6/9/2020,24311,0,33
6/9/2020,24312,0,48
6/9/2020,24313,Suppressed*,17
6/9/2020,24314,0,37
6/9/2020,24315,0,60
6/9/2020,24316,0,2
6/9/2020,24317,7,101
6/9/2020,24318,0,12
6/9/2020,24319,5,112
6/9/2020,24322,0,6
6/9/2020,24323,Suppressed*,17
6/9/2020,24324,0,52
6/9/2020,24325,Suppressed*,17
6/9/2020,24326,Suppressed*,25
6/9/2020,24328,Suppressed*,38
6/9/2020,24330,24,133
6/9/2020,24333,209,937
6/9/2020,24340,6,107
6/9/2020,24343,77,353
6/9/2020,24347,Suppressed*,39
6/9/2020,24348,Suppressed*,125
6/9/2020,24350,Suppressed*,23
6/9/2020,24351,0,7
6/9/2020,24352,Suppressed*,20
6/9/2020,24354,6,339
6/9/2020,24360,8,153
6/9/2020,24361,Suppressed*,95
6/9/2020,24363,Suppressed*,17
6/9/2020,24366,Suppressed*,21
6/9/2020,24368,Suppressed*,103
6/9/2020,24370,Suppressed*,101
6/9/2020,24374,0,22
6/9/2020,24375,0,13
6/9/2020,24377,0,4
6/9/2020,24378,Suppressed*,17
6/9/2020,24380,Suppressed*,31
6/9/2020,24381,10,97
6/9/2020,24382,18,384
6/9/2020,24401,75,1076
6/9/2020,24411,0,1
6/9/2020,24412,0,1
6/9/2020,24413,0,6
6/9/2020,24415,0,2
6/9/2020,24416,13,109
6/9/2020,24421,Suppressed*,67
6/9/2020,24422,8,169
6/9/2020,24426,17,372
6/9/2020,24430,Suppressed*,87
6/9/2020,24431,6,90
6/9/2020,24432,Suppressed*,7
6/9/2020,24433,0,2
6/9/2020,24435,Suppressed*,38
6/9/2020,24437,0,25
6/9/2020,24439,0,35
6/9/2020,24440,8,74
6/9/2020,24441,35,244
6/9/2020,24442,0,2
6/9/2020,24445,0,46
6/9/2020,24448,Suppressed*,14
6/9/2020,24450,10,504
6/9/2020,24457,Suppressed*,24
6/9/2020,24458,0,6
6/9/2020,24459,6,17
6/9/2020,24460,0,29
6/9/2020,24464,0,1
6/9/2020,24465,Suppressed*,35
6/9/2020,24467,5,48
6/9/2020,24471,Suppressed*,52
6/9/2020,24472,Suppressed*,82
6/9/2020,24473,0,18
6/9/2020,24474,0,12
6/9/2020,24476,Suppressed*,14
6/9/2020,24477,19,295
6/9/2020,24479,Suppressed*,43
6/9/2020,24482,6,116
6/9/2020,24483,Suppressed*,11
6/9/2020,24484,0,10
6/9/2020,24485,Suppressed*,10
6/9/2020,24486,22,120
6/9/2020,24487,0,5
6/9/2020,24501,32,1066
6/9/2020,24502,39,1338
6/9/2020,24503,14,622
6/9/2020,24504,7,302
6/9/2020,24517,Suppressed*,179
6/9/2020,24520,Suppressed*,52
6/9/2020,24521,8,436
6/9/2020,24522,22,352
6/9/2020,24523,30,915
6/9/2020,24526,Suppressed*,56
6/9/2020,24527,Suppressed*,79
6/9/2020,24528,Suppressed*,105
6/9/2020,24529,Suppressed*,74
6/9/2020,24530,0,34
6/9/2020,24531,7,234
6/9/2020,24534,5,50
6/9/2020,24536,0,5
6/9/2020,24538,Suppressed*,148
6/9/2020,24539,0,10
6/9/2020,24540,38,1034
6/9/2020,24541,30,907
6/9/2020,24549,Suppressed*,107
6/9/2020,24550,5,220
6/9/2020,24551,22,722
6/9/2020,24553,Suppressed*,73
6/9/2020,24554,Suppressed*,110
6/9/2020,24555,Suppressed*,35
6/9/2020,24556,0,120
6/9/2020,24557,6,204
6/9/2020,24558,6,235
6/9/2020,24562,0,23
6/9/2020,24563,Suppressed*,166
6/9/2020,24565,0,29
6/9/2020,24566,5,37
6/9/2020,24569,0,28
6/9/2020,24571,Suppressed*,52
6/9/2020,24572,13,590
6/9/2020,24574,Suppressed*,102
6/9/2020,24577,Suppressed*,139
6/9/2020,24578,Suppressed*,7
6/9/2020,24579,0,13
6/9/2020,24580,Suppressed*,25
6/9/2020,24586,Suppressed*,155
6/9/2020,24588,Suppressed*,304
6/9/2020,24589,0,67
6/9/2020,24590,13,334
6/9/2020,24592,14,615
6/9/2020,24593,Suppressed*,59
6/9/2020,24594,Suppressed*,53
6/9/2020,24595,0,9
6/9/2020,24597,Suppressed*,34
